Dialogue ID,Dialogue,All CS,Selection,Response,Multi Selection,Multi Response,Cause,Desire,Desire_o,React,React_o,Motivation,Prerequisite,Constituent,Subsequent,Attribute,Total,Prev ?,Response ?,Ends
,,,,,,,10,9,10,10,12,9,10,10,10,10,100,49,29,3
soda_7279_tugged_heartstrings_awe_added,"Listener (You): Hey boss, I just wanted to let you know that I finished that project you asked me to work on.
Speaker (Other): Great job, Nathen! I knew you could do it.","The Speaker (Other) is motivated by a desire to foster a positive work environment where employees feel valued and supported.
The Speaker (Other) is speaker values hard work and dedication in their employees.
Next, nathen might feel more confident in his abilities and take on more challenging projects in the future.
The Listener (You) wants to ask for more challenging projects to work on.
The Speaker (Other) feels satisfied with the outcome of the project and is happy to see nathen's hard work pay off.
The Speaker (Other) wants to assign nathen to work on a more challenging project in the future.
The previous dialogue turn depends on acknowledging nathen's hard work and dedication to the project.
The previous dialogue turn was caused by the speaker's trust in nathen's abilities and his belief that he would complete the project successfully.
The previous dialogue turn requires nathen had the necessary skills and knowledge to complete the project successfully.
The Listener (You) feels motivated to continue working hard and delivering quality work.",* The Listener (You) wants to ask for more challenging projects to work on.,"Thank you, boss! I'm pretty happy with how it turned out. I was wondering what else you need me to do? With this last project under my belt, I think I am ready to take on something even more challenging if you need me to. ","* The previous dialogue turn requires nathen had the necessary skills and knowledge to complete the project successfully.
* The Listener (You) feels motivated to continue working hard and delivering quality work.
* The Listener (You) wants to ask for more challenging projects to work on.","Thank you, boss! I learned a lot from working on that project that I know will come in handy as I continue my work in the future. Honestly, I feel excited to take on even more challenging tasks. ",,,1,,,,,,,,,,1,
soda_7654_citybuilding_benches_streetlights_sewage,"Speaker (Other): Wow, Lily, your model city is amazing! I can't believe how many details you've included.
Listener (You): Thank you, Alberto! I worked really hard on it and I'm really proud of how it turned out. Can you tell I spent a lot of time on it?
Speaker (Other): I can tell! It must have taken you forever to make all those little buildings and people.","The Listener (You) wants to share her model city with her friends and family.
The previous dialogue turn requires lily has a keen eye for detail and is able to see the smallest details in her creations.
The Speaker (Other) wants to ask lily if she would be interested in collaborating on a larger scale model city project.
The previous dialogue turn depends on acknowledging the amount of time and effort that went into creating the model city.
The Speaker (Other) is motivated by a sense of admiration for lily's creativity and attention to detail.
The Listener (You) feels validated and appreciated for her hard work.
The Speaker (Other) feels impressed by lily's dedication and hard work.
The Speaker (Other) is impressed by lily's creativity and attention to detail.
The previous dialogue turn was caused by lily's love for miniatures and her desire to create something that is as realistic as possible.
Next, alberto might suggest that lily enter her model city in a local competition.",* The previous dialogue turn requires lily has a keen eye for detail and is able to see the smallest details in her creations.,"Yeah, you wouldn't believe the amount of time this took. I feel like I'm going cross-eyed from paying attention to such small details for so long!","* The previous dialogue turn requires lily has a keen eye for detail and is able to see the smallest details in her creations.
* The Speaker (Other) feels impressed by lily's dedication and hard work.
* The Listener (You) wants to share her model city with her friends and family.","Yeah, you wouldn't believe the amount of time this took. I feel like I'm going cross-eyed from paying attention to such small details for so long! Since you are so impressed by my little project, I'm looking forward to showing my siblings this weekend even more. They always said I'd never finish one of these model cities so I want to prove them wrong!",,,,,,,1,,,,,,,
soda_7502_candyce_stargazing_facebook_biking,"Speaker (Other): Hi, I'm Katheryn. What is your name?
Listener (You): Hi, I'm Giuliana. It's nice to meet you.
Speaker (Other): It's nice to meet you too. So, what do you like to do for fun? Where do you like to hang out?","The Speaker (Other) is sociable and enjoys meeting new people.
The Listener (You) feels curious about speaker's interests and wants to learn more about them.
The Speaker (Other) wants to learn more about giuliana's interests and hobbies to see if they have any common interests.
Next, giuliana might mention that she enjoys reading and ask katheryn if she has any favorite books.
The Speaker (Other) feels curious about giuliana's interests and wants to learn more about her.
The previous dialogue turn was caused by katheryn's desire to establish a connection with giuliana and learn more about her interests.
The Listener (You) wants to share her hobbies and interests with speaker.
The previous dialogue turn depends on expressing interest in the listener's hobbies and interests.
The previous dialogue turn requires the speaker is interested in getting to know the listener better.
The Speaker (Other) is motivated by a sense of curiosity and interest in learning about others.","* Next, giuliana might mention that she enjoys reading and ask katheryn if she has any favorite books.","I enjoy reading in my free time, and spend a lot of time at the park near my home. Do you have any favorite books?","* Next, giuliana might mention that she enjoys reading and ask katheryn if she has any favorite books.
* The Listener (You) feels curious about speaker's interests and wants to learn more about them.","I enjoy reading in my free time. And I spend a lot of time at the park near my home. Now, what about you? Do you have any favorite books?",,,,,,,,,1,,,1,1,
soda_7618_pollen_allergist_allergy_hay,"Listener (You): Hey, babe. I'm starting to feel really weird. My throat is itchy and my eyes are watery.
Speaker (Other): Oh, no! Do you think it's the pollen? Has this happened before?","The Speaker (Other) is motivated to provide emotional support to the listener during a difficult time.
Next, the listener might express concern about the impact of the allergy on their daily life and ask the speaker if they have ever experienced allergies before.
The previous dialogue turn depends on expressing concern for the listener's well-being
The Speaker (Other) feels empathetic towards the listener's discomfort.
The previous dialogue turn was caused by the listener's exposure to a new allergen that they haven't been exposed to before.
The Listener (You) wants to take a break from outdoor activities and stay indoors until the allergy symptoms subside.
The Speaker (Other) wants to offer to take listener to a doctor if the symptoms persist or worsen.
The previous dialogue turn requires the listener has been exposed to pollen before.
The Listener (You) feels relieved that speaker is aware of their allergies.
The Speaker (Other) is empathetic and concerned about the listener's well-being.",* The Speaker (Other) wants to offer to take listener to a doctor if the symptoms persist or worsen.,"You know, it probably is because of the pollen. I remember this happened to me last year too around this time. Do you think there is some kind of medicine or something I could see a doctor about that could help?","* The Listener (You) wants to take a break from outdoor activities and stay indoors until the allergy symptoms subside.
* The Speaker (Other) wants to offer to take listener to a doctor if the symptoms persist or worsen.","You know, it probably is because of the pollen. I remember this happened to me last year too around this time. I guess I just need to plan to spend less time outside around this time. But, man, I really hate feeling like this. Maybe... do you think there is some kind of medicine or something I could see a doctor about that could prevent this?",,1,,,,,,,,,,1,1,
soda_13322_surethank_eliyahu_crackers_irritable,"Listener (You): Hi there. Are you okay? You look a bit hungry.
Speaker (Other): Yeah, I am. I haven't had anything to eat in a while.","The Speaker (Other) is probably focused on finding a meal and may need to end the conversation to prioritize finding food.

The previous dialogue turn was caused by a personal choice to fast or restrict food intake for religious or health reasons.

The Listener (You) wants to offer some snacks or food items they might have in their bag or pocket.

The previous dialogue turn depends on acknowledging the listener's concern

The Speaker (Other) wants to make a grocery list and go shopping for essential food items.

The Speaker (Other) is motivated by the thought of food and the pleasure and satisfaction it can bring.

Next, speaker might start feeling weak and tired due to low energy levels.

The Listener (You) feels guilty for having a meal earlier and wants to apologize to speaker for not sharing.

The previous dialogue turn requires there are no readily available food options in the speaker's vicinity.

The Speaker (Other) feels famished and could really use a meal.","* Next, speaker might start feeling weak and tired due to low energy levels.",Do you want to get something to eat with me? I don't want you to feel too weak or tired from being hungry.,"* The previous dialogue turn was caused by a personal choice to fast or restrict food intake for religious or health reasons.
* The previous dialogue turn requires there are no readily available food options in the speaker's vicinity.
* Next, speaker might start feeling weak and tired due to low energy levels.","Are you fasting, or out of food at home, or something? If you'd like, we can go get something to eat together right now. I don't want you to feel too weak or tired from being hungry.",,,,,,,,,1,,,,1,
soda_15730_commend_ideally_storytelling_cathartic,"Speaker (Other): Hey, Kaitlyn. What's up?
Listener (You): Not much. Just hanging out. What about you?
Speaker (Other): I'm actually thinking about writing a book. I'm not sure what it's going to be about yet, but I want it to be something that will help other people. Do you have any ideas of what it could be about?","The previous dialogue turn was caused by the speaker's observation of a lack of resources or information in a certain area and wanting to fill that gap with their book.

The Speaker (Other) is open-minded and willing to explore different topics to find one that will help others.

The Listener (You) feels proud of speaker for wanting to help others through their writing and offers to be a beta reader or provide feedback.

The previous dialogue turn requires for this to happen, the speaker must have a strong desire to contribute to society and help people in some form.

The previous dialogue turn depends on identifying potential target audiences and analyzing their needs, interests, and preferences.

The Speaker (Other) feels excited and motivated to start a new project.

Next, the conversation may turn into a brainstorming session as kaitlyn and speaker toss around ideas for potential book topics.

The Listener (You) wants to recommend a writing coach or mentor to help speaker develop their writing skills and guide them in writing a successful book.

The Speaker (Other) is motivated by their desire to make a positive impact on the world.

The Speaker (Other) wants to tap into their own experiences and struggles to create relatable content for their readers.","* Next, the conversation may turn into a brainstorming session as kaitlyn and speaker toss around ideas for potential book topics.",What an interesting thought! There are so many things you could write about. It really depends on what you think you can share with the world. What are some skills or topics that you feel like you could teach to other people? ,"* The Speaker (Other) feels excited and motivated to start a new project.
* The Listener (You) feels proud of speaker for wanting to help others through their writing and offers to be a beta reader or provide feedback.
* Next, the conversation may turn into a brainstorming session as kaitlyn and speaker toss around ideas for potential book topics.","What an exciting idea, there are so many things you could write about! I'd love to be a beta reader of your book as you write it.  What are some skills or topics that you feel like you could teach to other people by writing about them?",,,,,,,,,1,,,1,1,
soda_8463_multimilliondollar_industryi_involvedim_workingclass,"Speaker (Other): I've been thinking about starting a new business. I'm not sure what it is yet, but I'm determined to make it a success.
Listener (You): What makes you think it will be successful?
Speaker (Other): I'll work hard to make sure everything is set up properly. Plus, I have a good feeling about it. I'm confident that it will be successful.
Listener (You): It sounds like you're putting a lot of pressure on yourself to make this work.
Speaker (Other): Not really. I just want to do something that I'm passionate about and that has the potential to be really great. Plus, I have the experience and knowledge to make it happen.","The previous dialogue turn was caused by the speaker could have been unhappy with their current job or career path and saw starting a new business as a way to pursue their passions and achieve greater fulfillment.

The Speaker (Other) feels optimistic and hopeful about the future

The Speaker (Other) is motivated by a sense of adventure and excitement, wanting to embark on a new and unpredictable journey.

The previous dialogue turn depends on securing funding and other resources to ensure that the business has the necessary capital and infrastructure to succeed.

The Speaker (Other) wants to identify target customers and develop a marketing strategy to effectively reach and engage with them.

The Speaker (Other) is determined and willing to put in the necessary effort to make their business succeed.

The Listener (You) feels curious about what type of business speaker is planning to start.

Next, the listener may ask more questions and express interest in hearing more about the speaker's ideas.

The Listener (You) wants to offer to provide some initial funding or support to help the speaker get the business off the ground.

The previous dialogue turn requires the speaker has conducted extensive market research to understand the target audience, their preferences, and willingness to pay.","* Next, the listener may ask more questions and express interest in hearing more about the speaker's ideas.","Yeah, I guess I can understand the desire to do something that you find fulfilling. It just sounds like a lot of risk and hard work to me. What are some things you're passionate about that you believe could be turned into a business?","* The Speaker (Other) feels optimistic and hopeful about the future.
* The previous dialogue turn was caused by the speaker could have been unhappy with their current job or career path and saw starting a new business as a way to pursue their passions and achieve greater fulfillment.
* Next, the listener may ask more questions and express interest in hearing more about the speaker's ideas.","I really respect your optimism when it comes to starting your own business. Personally, I can't shake off the feeling of how risky and demanding it could be. But I totally get the drive to pursue something more fulfilling, especially if you are unhappy in your current job. So, what are some things you're passionate about that you believe could be turned into a business?",,,,,,,,,1,,,,1,
soda_5445_mattress_cigar_safes_drawer,"Speaker (Other): I'm so happy that I finally have a place to hide my money. I was getting really worried that someone would find it.
Listener (You): Yeah, it's definitely a good idea to keep your money hidden away. Where did you put it?
Speaker (Other): Under my bed, in a shoe box.","The previous dialogue turn requires the speaker has a bed with space under it.

The Speaker (Other) feels relieved now that their money is safely hidden away.

The Speaker (Other) is organized and strategic in their approach to managing their money.

The Speaker (Other) wants to start saving more money to add to the shoe box.

The Listener (You) wants to express concern and remind speaker to be cautious when letting others into their room, especially if they bring guests over.

The previous dialogue turn was caused by a recent burglary in the neighborhood that made the speaker fearful.

The Speaker (Other) is motivated by a lack of trust in banks or other financial institutions, which causes them to keep their money in a physical location.

Next, the listener might ask the speaker how they chose the shoe box as a hiding spot and what other hiding spots they considered.

The previous dialogue turn depends on getting a sturdy, durable shoe box that can hold the weight of the money.

The Listener (You) feels interested in finding out how much money speaker has stashed away.","* Next, the listener might ask the speaker how they chose the shoe box as a hiding spot and what other hiding spots they considered.","I'm not sure that is the best hiding spot. It seems a bit obvious, doesn't it? Did you consider a different hiding spot, maybe one that is more unexpected?","* The previous dialogue turn requires the speaker has a bed with space under it.
* Next, the listener might ask the speaker how they chose the shoe box as a hiding spot and what other hiding spots they considered.",I didn't realize you had space under your bed to put a whole shoebox. Did you consider any other hiding spots? I'm wondering if under the bed is too obvious.,,,,,,,,,1,,,,1,
soda_7773_personb_knowdifferent_noyou_steered,"Listener (You): I need help. I don't know what to do.
Speaker (Other): What's wrong?
Listener (You): I'm in love with two people and I can't choose between them.
Speaker (Other): Who are the two people?","The previous dialogue turn was caused by the speaker's lack of knowledge about the listener's situation.

The previous dialogue turn depends on taking time for yourself to reflect on what you truly want and need in a relationship.

Next, the listener might explain the pros and cons of both people, hoping to get some advice from the speaker.

The Speaker (Other) is empathetic and willing to help others.

The Listener (You) wants to weigh the pros and cons of each relationship and make a logical decision.

The Speaker (Other) feels surprised but composed.

The Speaker (Other) is motivated by a desire to help others solve their problems.

The Listener (You) feels like she's betraying one of the two people by not being able to commit to just one.

The previous dialogue turn requires the two people are unaware that they are both in love with the same person.

The Speaker (Other) wants to empathize with the listener by sharing a similar experience they had in the past.","* Next, the listener might explain the pros and cons of both people, hoping to get some advice from the speaker.","Well, I've been seeing this guy John casually for a while now and we just really get along well and he is so sweet and supportive. But then recently, I've been spending a lot of time with my coworker Sam because we got put on the same project. He is just so funny and smart. He's a lot more exciting and outgoing, whereas things with John are casual and easy. What do I do?","* Next, the listener might explain the pros and cons of both people, hoping to get some advice from the speaker.
* The Listener (You) feels like she's betraying one of the two people by not being able to commit to just one.","Well, I've been seeing this guy John casually for a while now, but recently I've been spending a lot of time with my coworker Sam because we got put on the same project. I feel really guilty about wanting to be with both of them at the same time, but I can't decide. What do I do?",,,,,,,,,1,,,1,1,
soda_7811_subconscious_staircase_psychobabble_symbolizes,"Listener (You): Last night, I had a dream that I was lost in a city. I didn't know where I was or how to get home. In the dream, I walked around for hours, until I finally found my way back to my house.
Speaker (Other): What city were you in? Do you remember anything about it?
Listener (You): I don't remember the name of the city, but it was big and busy. There were a lot of people and tall buildings.
Speaker (Other): Do you think it was a real city or just something your mind made up?
Listener (You): I'm not sure. It felt real, but I don't know if that means anything.
Speaker (Other): It might mean something. Dreams can be strange like that. Sometimes they seem very real, even though they're not.","The previous dialogue turn depends on ...the brain's ability to create vivid and immersive experiences in our sleep.

The Speaker (Other) is motivated by a desire to be helpful, as they are offering some insight and perspective on the situation.

The previous dialogue turn requires the dreamer is experiencing some uncertainty or lack of direction in their waking life.

The Speaker (Other) wants to remind the listener that dreams are personal and subjective, and what they mean can only be determined by the individual experiencing them.

The Speaker (Other) is a thoughtful listener who tries to be empathetic and supportive, even when discussing abstract or intangible topics like dreams.

The Speaker (Other) feels intrigued by the dream and wants to explore what it could signify.

The Listener (You) feels intrigued by the idea that dreams can seem real even though they're not and wants to learn more about the science of dreaming.

The Listener (You) wants to create a painting or drawing of the city they saw in the dream to capture its essence and symbolism.

The previous dialogue turn was caused by the listener's subconscious feelings of being lost and needing to find their way back home.

Next, the listener might feel a sense of relief knowing that it was just a dream.","* Next, the listener might feel a sense of relief knowing that it was just a dream.","Yeah, the feeling of being lost and scared in the dream definitely felt too real. It stuck around for a bit right when I woke up, but I eventually realized it had just been a dream, thank goodness.","* The previous dialogue turn depends on ...the brain's ability to create vivid and immersive experiences in our sleep.
* Next, the listener might feel a sense of relief knowing that it was just a dream.","Yeah, it's amazing how vivid and immersive our dreams can be. Honestly, I was so relieved when I woke up and realized it was just a dream. I just felt so lost and uncertain in the dream, it was horrible.",,,,,,,,,1,,,,,
